Quansheng UV-K1 factory firmware — function map
================================================================================

Address          Name                                               Description
------------------------------------------------------------------------------------------------------------------------
BK4829_SetDTMFToneFreqs BK4829_Configure_BK4829_SetDTMFToneFreqs           BK4829 multi-register configuration (8 writes)
BK4829_SetupAM   BK4829_MultiConfig_BK4829_SetupAM                  Multi-register BK4829 config (5 writes)
BK4829_SetupTX   BK4829_SetTone_2                                   Configure tone generator (REG_70/71/72)
BK4829_SetupFM   BK4829_MultiConfig_BK4829_SetupFM                  Multi-register BK4829 config (5 writes)
BK4829_DisableDTMF BK4829_SetDTMF_ENABLE                              Set register DTMF_ENABLE (0x24)
BK4829_Init      BK4829_SetupAGC                                    Configure AGC gain table (REG_10-14, REG_49)
BK4829_SetFilterBandwidth BK4829_SetIF_BW                                    Set register IF_BW (0x43)
BK4829_SetFrequency BK4829_SetFreqRegisters                            Write frequency to REG_FREQ_LOW/HIGH (0x38/39)
BK4829_SetToneFrequency BK4829_SetTX_TONE                                  Set register TX_TONE (0x36)
BK4829_PLLCalibration BK4829_SetTone_4                                   Configure tone generator (REG_70/71/72)
BK4829_EnableDTMF function_BK4829_EnableDTMF                         Unidentified (4 lines, 0 calls)
BK4829_WriteRegister function_BK4829_WriteRegister                      Unidentified (17 lines, 7 calls)
BK4829_ReadRegister function_BK4829_ReadRegister                       Unidentified (36 lines, 12 calls)
BK4829_SwitchJumpTable function_BK4829_SwitchJumpTable                    Unidentified (3 lines, 0 calls)
0x800ba80        BK4829_SetRSSI                                     Set register RSSI (0x47)
0x800bc08        function_800bc08                                   Unidentified (7 lines, 3 calls)
0x800bc44        function_800bc44                                   Unidentified (9 lines, 2 calls)
0x800bcd8        function_800bcd8                                   Unidentified (5 lines, 2 calls)
0x800bcf6        BK4829_SetRX_GAIN                                  Set register RX_GAIN (0x51)
0x800bd02        BK4829_SetMODE_CTRL                                Set register MODE_CTRL (0x31)
0x800bd18        function_800bd18                                   Unidentified (6 lines, 2 calls)
0x800bd3c        BK4829_MultiConfig_800bd3c                         Multi-register BK4829 config (5 writes)
0x800bd7c        BK4829_MultiConfig_800bd7c                         Multi-register BK4829 config (7 writes)
0x800bdfc        function_800bdfc                                   Unidentified (4 lines, 2 calls)
0x800be08        function_800be08                                   Unidentified (4 lines, 2 calls)
0x800be16        function_800be16                                   Unidentified (4 lines, 2 calls)
0x800be24        function_800be24                                   Unidentified (10 lines, 4 calls)
0x800be4e        function_800be4e                                   Unidentified (6 lines, 2 calls)
0x800be60        BK4829_SetupRX                                     Configure BK4829 for receive mode
0x800c0d8        function_800c0d8                                   Unidentified (11 lines, 1 calls)
0x800c100        function_800c100                                   Unidentified (12 lines, 5 calls)
0x800c144        BK4829_MultiConfig_800c144                         Multi-register BK4829 config (5 writes)
0x800c194        BK4829_SetTXLevel_0                                Set TX power level
0x800c1b8        function_800c1b8                                   Unidentified (6 lines, 1 calls)
0x800c22c        BK4829_SetREG52                                    Set register REG52 (0x52)
0x800c244        function_800c244                                   Unidentified (4 lines, 2 calls)
0x800c2b8        BK4829_SetDTMF_SEL                                 Set register DTMF_SEL (0x07)
0x800c2c8        function_800c2c8                                   Unidentified (4 lines, 1 calls)
0x800c2e4        function_800c2e4                                   Unidentified (4 lines, 1 calls)
0x800c300        BK4829_SetTXLevel_1                                Set TX power level
0x800c318        function_800c318                                   Unidentified (20 lines, 6 calls)
0x800c374        function_800c374                                   Unidentified (33 lines, 5 calls)
0x800c3b4        function_800c3b4                                   Unidentified (11 lines, 4 calls)
0x800c404        function_800c404                                   Unidentified (4 lines, 1 calls)
0x800c41c        BK4829_SetTX_CTRL_1                                Set register TX_CTRL (0x30)
0x800c42c        SM_800c42c                                         State machine (2 switch statements)
0x800c48c        wrap_BK4829_SetRSSI_2                              Wrapper around BK4829_SetRSSI
0x800c4bc        BK4829_SetTone_3                                   Configure tone generator (REG_70/71/72)
0x800c570        BK4829_SetTXLevel_2                                Set TX power level
0x800c620        BK4829_SetTXLevel_3                                Set TX power level
0x800c65c        wrap_BK4829_SetTXLevel_1                           Wrapper around BK4829_SetTXLevel
0x800c7ec        function_800c7ec                                   Unidentified (243 lines, 53 calls)
0x800cc7c        function_800cc7c                                   Unidentified (16 lines, 1 calls)
0x800cc90        function_800cc90                                   Unidentified (4 lines, 1 calls)
0x800cdb0        function_800cdb0                                   Unidentified (7 lines, 1 calls)
0x800cdc8        function_800cdc8                                   Unidentified (10 lines, 8 calls)
0x800cde8        function_800cde8                                   Unidentified (33 lines, 1 calls)
0x800ce24        function_800ce24                                   Unidentified (25 lines, 4 calls)
0x800cf34        function_800cf34                                   Unidentified (14 lines, 6 calls)
0x800cfa4        function_800cfa4                                   Unidentified (12 lines, 6 calls)
0x800d000        function_800d000                                   Unidentified (8 lines, 2 calls)
0x800d02c        function_800d02c                                   Unidentified (9 lines, 2 calls)
0x800d054        function_800d054                                   Unidentified (23 lines, 12 calls)
0x800d100        function_800d100                                   Unidentified (83 lines, 27 calls)
0x800d2c0        function_800d2c0                                   Unidentified (4 lines, 1 calls)
0x800d2c2        function_800d2c2                                   Unidentified (29 lines, 9 calls)
0x800d30c        function_800d30c                                   Unidentified (38 lines, 16 calls)
0x800d39c        function_800d39c                                   Unidentified (54 lines, 14 calls)
0x800d43c        function_800d43c                                   Unidentified (12 lines, 5 calls)
0x800d470        function_800d470                                   Unidentified (12 lines, 5 calls)
0x800d4a4        function_800d4a4                                   Unidentified (18 lines, 2 calls)
0x800d4c8        function_800d4c8                                   Unidentified (32 lines, 6 calls)
